a	000	39	0	0	9	6	1.0833333333333333	1	6	8	11	11	15	9	1	1	0
a	001	50	0	1	10	9	1.1666666666666667	0	8	10	11	10	6	9	1	1	0
a	002	24	2	0	5	5	0.75	1	5	4	5	9	6	3	1	1	0
a	003	36	1	0	9	5	1.3	0	11	10	10	8	11	15	1	1	2
a	004	28	0	3	6	4	1.5	1	7	8	6	8	14	13	1	1	4
a	005	37	0	1	8	7	1.1	0	7	9	9	10	9	8	1	1	0
a	006	45	0	2	10	7	1.2727272727272727	1	8	10	9	8	7	11	1	1	2
a	007	41	1	1	9	6	0.9230769230769231	1	7	9	12	11	13	11	1	1	0
a	008	53	1	0	10	11	0.8461538461538461	2	11	12	7	10	7	11	1	1	0
a	009	29	1	1	6	6	1.125	0	5	7	6	5	3	6	1	1	0
a	010	35	0	1	7	6	1.0	0	7	9	9	9	7	9	1	1	0
a	011	37	4	1	6	9	0.9090909090909091	1	17	17	5	10	9	21	1	1	0
a	012	41	0	0	7	10	1.0	2	11	13	8	8	8	12	1	1	0
a	013	32	0	0	6	4	0.8181818181818182	1	6	7	13	13	16	8	1	1	0
a	014	52	0	0	11	12	1.1666666666666667	1	12	13	13	14	13	12	1	1	0
a	015	37	0	1	8	6	1.0	0	7	7	9	10	9	7	1	1	0
a	016	26	0	1	4	4	0.7777777777777778	0	4	6	9	9	9	6	1	1	0
a	017	41	0	0	10	5	1.0	0	9	10	14	16	19	15	1	1	3
a	018	27	0	1	7	4	0.7777777777777778	0	3	5	8	10	9	6	1	1	1
a	019	32	1	0	8	6	0.9090909090909091	1	4	6	14	12	20	10	1	1	3
a	020	47	0	1	11	10	1.0	0	6	8	11	10	8	8	1	1	0
a	021	57	0	0	11	9	0.9285714285714286	1	13	13	18	18	15	12	1	1	0
a	022	31	0	1	8	6	1.0	0	4	5	10	7	5	4	1	1	0
a	023	37	1	0	7	7	1.0	0	8	8	7	9	8	8	1	1	0
a	024	40	0	1	10	7	0.8461538461538461	1	6	6	13	16	19	9	1	1	0
a	025	44	0	1	10	6	1.0909090909090908	0	7	8	12	11	9	7	1	1	0
a	026	40	1	0	6	9	0.8181818181818182	1	13	14	7	9	7	14	1	1	0
a	027	29	0	1	8	5	1.1111111111111112	0	4	5	12	9	15	7	1	1	2
a	028	34	0	4	5	6	1.5555555555555556	1	13	13	11	10	15	15	1	1	1
a	029	35	0	1	8	6	1.0	0	6	5	8	9	8	5	1	1	0
a	030	34	0	1	8	6	1.125	0	6	6	7	7	4	6	1	1	0
a	031	41	0	1	9	4	1.2	0	9	10	13	12	10	10	1	1	0
a	032	33	0	3	7	5	1.3	1	7	8	8	10	15	13	1	1	2
a	033	37	1	1	9	7	0.6666666666666666	1	3	4	13	12	11	4	1	1	0
a	034	79	0	0	11	13	1.0833333333333333	0	11	12	12	13	0	0	1	1	0
a	035	34	1	0	6	5	1.1111111111111112	1	9	9	6	8	7	10	1	1	0
a	036	41	1	0	7	9	1.1	1	11	11	4	6	4	11	1	1	0
a	037	42	0	1	11	6	1.0	0	9	9	15	14	11	11	1	1	1
a	038	43	3	0	10	8	0.7692307692307693	2	6	8	13	16	13	8	1	1	0
a	039	19	0	1	4	4	1.0	1	3	4	6	8	11	5	1	1	0
a	040	37	1	0	5	4	0.9166666666666666	0	10	13	10	12	14	17	1	1	2
a	041	21	0	2	3	2	1.125	1	5	6	7	7	14	12	1	1	4
a	042	35	2	0	6	5	1.1818181818181819	1	10	11	10	10	15	14	1	1	0
a	043	35	0	1	7	5	1.2	0	9	10	8	12	13	12	1	1	0
a	044	27	0	0	6	4	1.4285714285714286	0	5	7	5	6	6	7	1	1	0
a	045	38	0	1	8	7	1.0	0	6	7	9	11	8	5	1	1	0
a	046	31	0	1	7	4	1.375	0	8	9	6	7	8	12	1	1	2
a	047	46	1	0	9	8	1.0	0	8	9	10	12	11	8	1	1	0
a	048	22	1	1	5	3	0.875	1	3	4	5	8	8	6	1	1	1
a	049	38	1	1	8	9	1.0	1	5	7	9	8	9	6	1	1	0
a	050	43	2	0	7	8	0.75	1	14	13	8	11	8	13	1	1	0
a	051	43	0	0	7	6	0.8461538461538461	0	9	10	16	15	17	10	1	1	0
a	052	46	0	1	9	11	1.0	0	7	10	12	13	12	7	1	1	0
a	053	40	0	1	12	4	0.7857142857142857	1	4	5	14	14	17	13	1	1	5
a	054	34	1	0	8	7	1.0	0	6	7	7	9	9	8	1	1	1
a	055	21	1	0	5	5	1.0	1	4	4	3	6	3	3	1	1	0
a	056	35	0	3	8	5	1.3333333333333333	1	10	11	9	9	9	12	1	1	1
a	057	53	0	2	13	7	1.0	1	10	12	18	17	12	13	1	1	0
a	058	68	0	0	13	13	1.0714285714285714	0	11	15	15	13	5	7	1	1	0
a	059	56	0	3	9	9	0.9230769230769231	2	16	15	7	13	6	15	1	1	0
a	060	59	2	3	8	10	1.0	2	20	21	10	13	11	17	1	1	0
a	061	25	0	1	3	2	1.0	0	6	8	9	10	15	11	1	1	3
a	062	25	1	0	5	5	1.1428571428571428	0	6	7	6	6	6	6	1	1	0
a	063	27	0	1	5	3	1.25	0	8	10	6	4	6	14	1	1	1
a	064	42	2	0	7	7	0.8333333333333334	1	10	9	13	14	11	9	1	1	0
a	065	101	0	0	16	14	0.875	0	10	10	14	20	0	0	1	1	0
a	066	65	1	2	14	8	1.1333333333333333	0	13	16	18	17	10	16	1	1	0
a	067	33	1	0	6	7	0.8	1	7	7	6	7	5	7	1	1	0
a	068	60	0	0	10	10	1.0	0	9	9	8	12	0	0	1	1	0
a	069	42	1	0	8	10	1.0	1	14	15	6	7	6	15	1	1	0
a	070	39	1	0	7	5	1.0	0	10	11	9	13	13	13	1	1	1
a	071	46	0	1	9	9	1.1818181818181819	0	11	13	8	8	7	11	1	1	0
